Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"18 Sep 2025"
MORELD;NO0013325506;MORLD;"Oslo Børs";NOK;17.20;17.20;16.84;16.96;"17/09/2025 16:25";CET;109828;1870388.52;16.96;17/09/2025
"MORROW BANK";NO0010694029;MOBA;"Oslo Børs";NOK;13.75;13.90;13.60;13.90;"17/09/2025 16:25";CET;821480;11368181.20;13.90;17/09/2025
MOWI;NO0003054108;MOWI;"Oslo Børs";NOK;217.60;219.00;217.00;218.00;"17/09/2025 16:25";CET;1025765;223639552.80;218.00;17/09/2025
"MPC CONTAINER SHIP";NO0010791353;MPCC;"Oslo Børs";NOK;18.385;18.55;18.125;18.345;"17/09/2025 16:27";CET;1998946;36687519.53;18.345;17/09/2025
MULTICONSULT;NO0010734338;MULTI;"Oslo Børs";NOK;180.00;181.50;177.00;180.00;"17/09/2025 16:25";CET;36797;6605766.50;180.00;17/09/2025
NAPATECH;DK0060520450;NAPA;"Oslo Børs";NOK;24.30;24.30;23.30;24.00;"17/09/2025 16:25";CET;112423;2679222.33;24.00;17/09/2025
NAVAMEDIC;NO0010205966;NAVA;"Oslo Børs";NOK;21.50;21.80;21.20;21.80;"17/09/2025 16:25";CET;22829;490324.30;21.80;17/09/2025
NEKKAR;NO0003049405;NKR;"Oslo Børs";NOK;10.00;10.25;10.00;10.10;"17/09/2025 16:25";CET;411171;4190683.40;10.10;17/09/2025
NEL;NO0010081235;NEL;"Oslo Børs";NOK;2.112;2.146;2.10;2.10;"17/09/2025 16:25";CET;6480333;13664920.13;2.10;17/09/2025
"NEXT BIOMETRICS GP";NO0010629108;NEXT;"Oslo Børs";NOK;3.38;3.38;2.89;3.06;"17/09/2025 16:25";CET;343274;1030454.80;3.06;17/09/2025
NORBIT;NO0010856511;NORBT;"Oslo Børs";NOK;205.00;205.00;196.40;198.60;"17/09/2025 16:27";CET;3912778;782500305.00;198.60;17/09/2025
NORCONSULT;NO0013052209;NORCO;"Oslo Børs";NOK;49.20;49.20;48.75;48.80;"17/09/2025 16:25";CET;159974;7830794.15;48.80;17/09/2025
"NORDIC MINING";NO0013162693;NOM;"Oslo Børs";NOK;17.90;17.98;17.34;17.34;"17/09/2025 16:25";CET;232046;4075411.12;17.34;17/09/2025
"NORDIC SEMICONDUC";NO0003055501;NOD;"Oslo Børs";NOK;155.40;156.00;151.50;154.50;"17/09/2025 16:25";CET;709365;109048146.50;154.50;17/09/2025
"NORSK HYDRO";NO0005052605;NHY;"Oslo Børs";NOK;66.70;67.16;66.52;66.66;"17/09/2025 16:25";CET;4594723;306545175.92;66.66;17/09/2025
"NORSKE SKOG";NO0010861115;NSKOG;"Oslo Børs";NOK;20.35;20.70;19.94;19.94;"17/09/2025 16:25";CET;123706;2497453.37;19.94;17/09/2025
"NORTHERN OCEAN LTD";BMG6682J1036;NOL;"Oslo Børs";NOK;6.40;6.47;6.27;6.34;"17/09/2025 16:25";CET;207663;1325493.18;6.34;17/09/2025
"NORWEGIAN AIR SHUT";NO0010196140;NAS;"Oslo Børs";NOK;16.37;16.435;16.135;16.245;"17/09/2025 16:25";CET;2692067;43770586.32;16.245;17/09/2025
"NRC GROUP";NO0003679102;NRC;"Oslo Børs";NOK;8.70;8.73;8.54;8.65;"17/09/2025 16:25";CET;411433;3562759.11;8.65;17/09/2025
"NYKODE THERAPEUTIC";NO0010714785;NYKD;"Oslo Børs";NOK;1.50;1.50;1.446;1.50;"17/09/2025 16:25";CET;159332;234955.56;1.50;17/09/2025
"ODFJELL DRILLING";BMG671801022;ODL;"Oslo Børs";NOK;78.60;79.00;78.00;78.70;"17/09/2025 16:29";CET;299588;23539482.40;78.70;17/09/2025
"ODFJELL SER. A";NO0003399909;ODF;"Oslo Børs";NOK;129.40;131.40;128.20;130.60;"17/09/2025 16:25";CET;97623;12701920.40;130.60;17/09/2025
"ODFJELL SER. B";NO0003399917;ODFB;"Oslo Børs";NOK;126.40;128.80;126.20;127.80;"17/09/2025 16:25";CET;17866;2275551.80;127.80;17/09/2025
"ODFJELL TECHNOLOGY";BMG6716L1081;OTL;"Oslo Børs";NOK;58.00;59.40;58.00;59.40;"17/09/2025 16:25";CET;18119;1073025.50;59.40;17/09/2025
OKEA;NO0010816895;OKEA;"Oslo Børs";NOK;18.00;18.00;17.66;17.84;"17/09/2025 16:29";CET;217298;3864828.72;17.84;17/09/2025
"OKEANIS ECO TANKER";MHY641771016;OET;"Oslo Børs";NOK;300.00;302.50;296.00;298.50;"17/09/2025 16:25";CET;71770;21460492.50;298.50;17/09/2025
"OLAV THON EIENDOMS";NO0005638858;OLT;"Oslo Børs";NOK;278.00;278.00;268.00;274.00;"17/09/2025 16:25";CET;20966;5680095.00;274.00;17/09/2025
ORKLA;NO0003733800;ORK;"Oslo Børs";NOK;108.30;108.60;107.30;107.30;"17/09/2025 16:25";CET;1160834;124651159.90;107.30;17/09/2025
"OTELLO CORPORATION";NO0010040611;OTEC;"Oslo Børs";NOK;13.50;13.50;13.35;13.45;"17/09/2025 16:27";CET;75267;1012721.60;13.45;17/09/2025
OTOVO;NO0010809783;OTOVO;"Oslo Børs";NOK;1.182;1.214;1.162;1.166;"17/09/2025 16:28";CET;259340;308176.55;1.166;17/09/2025
"PANORO ENERGY";NO0010564701;PEN;"Oslo Børs";NOK;23.00;23.20;22.60;23.10;"17/09/2025 16:25";CET;406327;9319740.45;23.10;17/09/2025
"PARATUS ENERGY SER";BMG6904D1083;PLSV;"Oslo Børs";NOK;41.00;42.34;40.72;42.16;"17/09/2025 16:25";CET;196721;8180371.06;42.16;17/09/2025
"PARETO BANK";NO0010397581;PARB;"Oslo Børs";NOK;90.70;90.70;88.90;89.60;"17/09/2025 16:25";CET;61049;5486570.50;89.60;17/09/2025
"PCI BIOTECH HOLD";NO0010405640;PCIB;"Oslo Børs";NOK;0.42;0.42;0.379;0.404;"17/09/2025 14:32";CET;170211;67186.96;0.404;17/09/2025
PETROLIA;CY0102630916;PSE;"Oslo Børs";NOK;4.50;4.75;4.50;4.75;"17/09/2025 10:10";CET;2060;9620.30;4.75;17/09/2025
"PETRONOR E&P";NO0012942525;PNOR;"Oslo Børs";NOK;10.34;10.34;10.16;10.20;"17/09/2025 16:25";CET;34016;347121.56;10.20;17/09/2025
"PEXIP HOLDING";NO0010840507;PEXIP;"Oslo Børs";NOK;63.00;63.40;62.20;62.90;"17/09/2025 16:29";CET;62506;3925170.60;62.90;17/09/2025
PHOTOCURE;NO0010000045;PHO;"Oslo Børs";NOK;59.40;59.90;58.80;59.80;"17/09/2025 16:25";CET;42752;2538970.60;59.80;17/09/2025
"POLARIS MEDIA";NO0010466022;POL;"Oslo Børs";NOK;60.00;60.00;59.50;59.50;"17/09/2025 11:36";CET;342;20362.00;59.50;17/09/2025
POLIGHT;NO0012535832;PLT;"Oslo Børs";NOK;5.20;5.23;5.09;5.15;"17/09/2025 16:25";CET;212782;1095686.55;5.15;17/09/2025
PROSAFE;NO0010861990;PRS;"Oslo Børs";NOK;3.815;3.925;3.775;3.815;"17/09/2025 16:26";CET;946422;3628063.26;3.815;17/09/2025
"PROTECTOR FORSIKRG";NO0010209331;PROT;"Oslo Børs";NOK;483.50;488.00;478.00;487.00;"17/09/2025 16:25";CET;67106;32518935.00;487.00;17/09/2025
"PUBLIC PROPERTY IN";NO0013178616;PUBLI;"Oslo Børs";NOK;25.05;25.10;24.40;24.90;"17/09/2025 16:25";CET;490236;12203526.86;24.90;17/09/2025
"QUESTERRE ENERGY";CA74836K1003;QEC;"Oslo Børs";NOK;2.385;2.485;2.35;2.425;"17/09/2025 16:25";CET;792382;1914255.13;2.425;17/09/2025
"RANA GRUBER";NO0010907389;RANA;"Oslo Børs";NOK;65.90;66.30;65.60;65.70;"17/09/2025 16:25";CET;44102;2902816.30;65.70;17/09/2025
